energy,machine
67.4,Tinius1
65.5,Tinius1
72,Tinius1
73.6,Tinius1
65.2,Tinius1
67,Tinius1
66.3,Tinius1
67.9,Tinius1
65.8,Tinius1
69.9,Tinius1
64.5,Tinius1
66,Tinius1
66.8,Tinius1
67,Tinius1
69.9,Tinius1
70.1,Tinius1
69.7,Tinius1
68.3,Tinius1
67,Tinius1
68.2,Tinius1
65,Tinius1
66.6,Tinius1
65.4,Tinius1
68.1,Tinius1
69,Tinius2
66.2,Tinius2
70,Tinius2
68.5,Tinius2
66,Tinius2
67.5,Tinius2
68.5,Tinius2
66.5,Tinius2
73,Tinius2
69,Tinius2
69,Tinius2
74.5,Tinius2
68,Tinius2
68.5,Tinius2
67.5,Tinius2
70,Tinius2
69,Tinius2
72.5,Tinius2
68,Tinius2
69,Tinius2
69,Tinius2
71,Tinius2
68,Tinius2
75,Tinius2
67,Tinius2
73,Satec
78.9,Satec
75,Satec
72.3,Satec
72.4,Satec
74.1,Satec
72,Satec
72,Satec
70.9,Satec
74.5,Satec
72,Satec
72.5,Satec
72.4,Satec
74,Satec
75,Satec
70.9,Satec
70.9,Satec
76.6,Satec
74.2,Satec
69.5,Satec
68.8,Satec
68.5,Satec
70.1,Satec
73,Satec
70.9,Satec
67.6,Tokyo
64.2,Tokyo
65.9,Tokyo
65.9,Tokyo
68.2,Tokyo
71.1,Tokyo
67.6,Tokyo
71.6,Tokyo
72.8,Tokyo
68.2,Tokyo
67.6,Tokyo
67.1,Tokyo
67.1,Tokyo
68.2,Tokyo
65.4,Tokyo
66.5,Tokyo
67.6,Tokyo
67.1,Tokyo
71.1,Tokyo
67.1,Tokyo
65.4,Tokyo
67.6,Tokyo
67.6,Tokyo
70.5,Tokyo
70.5,Tokyo
