final,sex,grade,standing,order,initial,mental.age
30,male,10,good,high,28,45
25,male,10,good,medium,22,58
22,male,10,good,low,19,46
26,male,10,average,high,22,56
17,male,10,average,medium,14,19
14,male,10,average,low,14,29
18,male,10,poor,high,18,34
17,male,10,poor,medium,14,17
12,male,10,poor,low,9,19
26,male,11,good,high,22,62
26,male,11,good,medium,21,57
24,male,11,good,low,21,65
24,male,11,average,high,25,54
23,male,11,average,medium,18,55
15,male,11,average,low,13,24
18,male,11,poor,high,17,40
16,male,11,poor,medium,13,24
13,male,11,poor,low,12,23
29,male,12,good,high,25,60
29,male,12,good,medium,24,88
22,male,12,good,low,19,64
23,male,12,average,high,21,64
20,male,12,average,medium,17,47
19,male,12,average,low,17,75
17,male,12,poor,high,16,29
15,male,12,poor,medium,15,38
14,male,12,poor,low,12,28
21,female,10,good,high,16,44
21,female,10,good,medium,21,44
19,female,10,good,low,17,6
20,female,10,average,high,18,38
18,female,10,average,medium,16,27
14,female,10,average,low,14,18
14,female,10,poor,high,9,18
12,female,10,poor,medium,7,18
9,female,10,poor,low,7,5
26,female,11,good,high,22,60
25,female,11,good,medium,22,57
23,female,11,good,low,19,52
22,female,11,average,high,19,54
21,female,11,average,medium,19,54
17,female,11,average,low,16,52
19,female,11,poor,high,17,40
15,female,11,poor,medium,12,28
13,female,11,poor,low,12,48
33,female,12,good,high,29,94
29,female,12,good,medium,29,89
25,female,12,good,low,22,78
23,female,12,average,high,21,50
18,female,12,average,medium,19,57
17,female,12,average,low,17,43
15,female,12,poor,high,13,36
15,female,12,poor,medium,14,35
10,female,12,poor,low,9,14
